[2024-08-29T19:07:58.041336+00:00] logger.CRITICAL: test [] []
[2024-08-29T19:08:45.837076+00:00] logger.CRITICAL: test [] []
%date% %level$ test%date% 500 test%date_time% CRITICAL test
%date_time% CRITICAL test
2024-09-16T13:45:00.040161+00:00 | INFO | Script has been started | []
2024-09-16T13:45:09.935146+00:00 | INFO | Script has finished working | []
2024-09-16T13:50:00.042261+00:00 | INFO | Script has been started | []
2024-09-16T13:50:09.741637+00:00 | INFO | Script has finished working | []
2024-09-16T13:55:00.043974+00:00 | INFO | Script has been started | []
2024-09-16T13:55:18.649916+00:00 | INFO | Script has finished working | []
2024-09-16T14:00:00.046172+00:00 | INFO | Script has been started | []
2024-09-16T14:00:09.590330+00:00 | INFO | Script has finished working | []
2024-09-16T14:05:00.047670+00:00 | INFO | Script has been started | []
2024-09-16T14:05:16.370953+00:00 | INFO | Script has finished working | []
2024-09-16T14:10:00.049717+00:00 | INFO | Script has been started | []
2024-09-16T14:10:11.388235+00:00 | INFO | Script has finished working | []
2024-09-16T14:15:00.051898+00:00 | INFO | Script has been started | []
2024-09-16T14:15:09.480861+00:00 | INFO | Script has finished working | []
2024-09-16T14:20:00.055307+00:00 | INFO | Script has been started | []
2024-09-16T14:20:09.577119+00:00 | INFO | Script has finished working | []
2024-09-16T14:25:00.057417+00:00 | INFO | Script has been started | []
2024-09-16T14:25:09.790245+00:00 | INFO | Script has finished working | []
2024-09-16T14:30:00.059084+00:00 | INFO | Script has been started | []
2024-09-16T14:30:09.777925+00:00 | INFO | Script has finished working | []
2024-09-16T14:35:00.060798+00:00 | INFO | Script has been started | []
2024-09-16T14:35:09.894765+00:00 | INFO | Script has finished working | []
2024-09-16T14:40:00.062438+00:00 | INFO | Script has been started | []
2024-09-16T14:40:10.157208+00:00 | INFO | Script has finished working | []
2024-09-16T14:45:00.063673+00:00 | INFO | Script has been started | []
2024-09-16T14:45:09.799180+00:00 | INFO | Script has finished working | []
2024-09-16T14:50:00.065515+00:00 | INFO | Script has been started | []
2024-09-16T14:50:09.961240+00:00 | INFO | Script has finished working | []
2024-09-16T14:55:00.067462+00:00 | INFO | Script has been started | []
2024-09-16T14:55:09.838790+00:00 | INFO | Script has finished working | []
2024-09-16T15:00:00.069166+00:00 | INFO | Script has been started | []
2024-09-16T15:00:09.782818+00:00 | INFO | Script has finished working | []
2024-09-16T15:05:00.070795+00:00 | INFO | Script has been started | []
2024-09-16T15:05:14.379818+00:00 | INFO | Script has finished working | []
2024-09-16T15:10:00.072579+00:00 | INFO | Script has been started | []
2024-09-16T15:10:19.550053+00:00 | INFO | Script has finished working | []
2024-09-16T15:15:00.074524+00:00 | INFO | Script has been started | []
2024-09-16T15:15:12.945788+00:00 | INFO | Script has finished working | []
2024-09-16T15:20:00.076742+00:00 | INFO | Script has been started | []
2024-09-16T15:20:09.603396+00:00 | INFO | Script has finished working | []
2024-09-16T15:25:00.077967+00:00 | INFO | Script has been started | []
2024-09-16T15:25:20.542334+00:00 | INFO | Script has finished working | []
2024-09-16T15:30:00.080028+00:00 | INFO | Script has been started | []
2024-09-16T15:30:20.010475+00:00 | INFO | Script has finished working | []
2024-09-16T15:35:00.081498+00:00 | INFO | Script has been started | []
2024-09-16T15:35:09.936519+00:00 | INFO | Script has finished working | []
2024-09-16T15:40:00.083148+00:00 | INFO | Script has been started | []
2024-09-16T15:40:10.365153+00:00 | INFO | Script has finished working | []
2024-09-16T15:45:00.085478+00:00 | INFO | Script has been started | []
2024-09-16T15:45:09.621089+00:00 | INFO | Script has finished working | []
2024-09-16T15:50:00.087286+00:00 | INFO | Script has been started | []
2024-09-16T15:50:09.843519+00:00 | INFO | Script has finished working | []
2024-09-16T15:55:00.089054+00:00 | INFO | Script has been started | []
2024-09-16T15:55:10.766676+00:00 | INFO | Script has finished working | []
2024-09-16T16:00:00.091795+00:00 | INFO | Script has been started | []
2024-09-16T16:00:10.362014+00:00 | INFO | Script has finished working | []
2024-09-16T16:05:00.093897+00:00 | INFO | Script has been started | []
2024-09-16T16:05:12.383734+00:00 | INFO | Script has finished working | []
2024-09-16T16:10:00.095941+00:00 | INFO | Script has been started | []
2024-09-16T16:10:10.321441+00:00 | INFO | Script has finished working | []
2024-09-16T16:15:00.098302+00:00 | INFO | Script has been started | []
2024-09-16T16:15:22.033841+00:00 | INFO | Script has finished working | []
2024-09-18T14:05:48.275011+00:00 | INFO | Script has been started | []
2024-09-18T14:06:13.759114+00:00 | INFO | Script has been started | []
2024-09-18T14:07:29.005455+00:00 | INFO | Script has been started | []
2024-09-18T14:07:58.752691+00:00 | INFO | Script has been started | []
2024-09-19T14:05:00.407729+00:00 | INFO | Script has been started | []
2024-09-19T14:10:00.405363+00:00 | INFO | Script has been started | []
2024-09-19T14:15:00.403071+00:00 | INFO | Script has been started | []
2024-09-19T14:20:00.405884+00:00 | INFO | Script has been started | []
2024-09-19T14:25:00.410245+00:00 | INFO | Script has been started | []
2024-09-19T14:30:00.412075+00:00 | INFO | Script has been started | []
2024-09-19T14:35:00.414437+00:00 | INFO | Script has been started | []
2024-09-19T14:40:00.416980+00:00 | INFO | Script has been started | []
2024-09-19T14:45:00.418672+00:00 | INFO | Script has been started | []
2024-09-19T14:50:00.421494+00:00 | INFO | Script has been started | []
2024-09-19T14:55:00.423241+00:00 | INFO | Script has been started | []
2024-09-19T14:55:11.389779+00:00 | CRITICAL | Response code: 0 | []
2024-09-19T15:00:00.425800+00:00 | INFO | Script has been started | []
2024-09-19T15:05:00.427611+00:00 | INFO | Script has been started | []
2024-09-19T15:10:00.429763+00:00 | INFO | Script has been started | []
2024-09-19T15:15:00.432000+00:00 | INFO | Script has been started | []
2024-09-19T15:20:00.434476+00:00 | INFO | Script has been started | []
2024-09-19T15:25:00.436570+00:00 | INFO | Script has been started | []
2024-09-19T15:30:00.438506+00:00 | INFO | Script has been started | []
2024-09-19T15:35:00.440779+00:00 | INFO | Script has been started | []
2024-09-19T15:40:00.444013+00:00 | INFO | Script has been started | []
2024-09-19T15:45:00.447005+00:00 | INFO | Script has been started | []
2024-09-19T15:50:00.450241+00:00 | INFO | Script has been started | []
2024-09-19T15:55:00.453399+00:00 | INFO | Script has been started | []
2024-09-19T16:00:00.456037+00:00 | INFO | Script has been started | []
2024-09-19T16:05:00.458112+00:00 | INFO | Script has been started | []
2024-09-19T16:10:00.460733+00:00 | INFO | Script has been started | []
2024-09-19T16:15:00.463262+00:00 | INFO | Script has been started | []
2024-09-19T16:20:00.465860+00:00 | INFO | Script has been started | []
2024-09-19T16:25:00.468415+00:00 | INFO | Script has been started | []
2024-09-19T16:30:00.471639+00:00 | INFO | Script has been started | []
2024-09-19T16:35:00.475162+00:00 | INFO | Script has been started | []
2024-09-19T16:40:00.477225+00:00 | INFO | Script has been started | []
2024-09-19T16:45:00.480147+00:00 | INFO | Script has been started | []
2024-09-19T16:50:00.482757+00:00 | INFO | Script has been started | []
2024-09-19T16:55:00.484462+00:00 | INFO | Script has been started | []
